State,Month,Year,Incident,Animal,Severity,Monetary_Impact
West Bengal,7,2024,Poaching,Tiger,High,473
Madhya Pradesh,12,2022,Poaching,Leopard,Low,96
Kerala,8,2021,Wild animal entering populated area,Monkey,High,242
Karnataka,3,2022,Conflict with humans,Snake,Low,95
Maharashtra,1,2024,Conflict with humans,Bear,High,253
Tamil Nadu,4,2023,Wild animal entering populated area,Wild Boar,Medium,142
Karnataka,2,2023,Wild animal entering populated area,Elephant,Critical,193
Karnataka,8,2021,Wild animal entering populated area,Wild Boar,Medium,55
Odisha,4,2018,Trap/Accident,Bear,Medium,117
Madhya Pradesh,2,2021,Poaching,Leopard,Low,35
Tamil Nadu,6,2022,Conflict with humans,Elephant,Low,49
West Bengal,6,2020,Wild animal entering populated area,Elephant,Critical,675
Uttar Pradesh,10,2022,Injury/Death,Monkey,Medium,122
Madhya Pradesh,4,2025,Poaching,Leopard,Medium,136
Uttar Pradesh,6,2020,Injury/Death,Lion,Low,73
Karnataka,2,2021,Wild animal entering populated area,Elephant,Medium,62
Karnataka,10,2019,Wild animal entering populated area,Wild Boar,High,524
Rajasthan,12,2024,Conflict with humans,Deer,Medium,238
Karnataka,2,2023,Wild animal entering populated area,Elephant,Critical,828
Rajasthan,10,2025,Poaching,Bear,Low,50
Madhya Pradesh,4,2021,Conflict with humans,Leopard,Low,64
Uttar Pradesh,8,2018,Wild animal entering populated area,Monkey,Medium,68
Karnataka,7,2022,Conflict with humans,Elephant,High,456
Odisha,12,2022,Wild animal entering populated area,Monkey,Medium,195
Uttar Pradesh,9,2020,Wild animal entering populated area,Elephant,Low,113
Maharashtra,8,2025,Wild animal entering populated area,Bear,Low,136
Maharashtra,5,2023,Smuggling,Tiger,Low,8
Maharashtra,2,2022,Smuggling,Monkey,Medium,117
West Bengal,5,2023,Wild animal entering populated area,Elephant,Low,57
Kerala,8,2019,Wild animal entering populated area,Monkey,Low,107
Uttar Pradesh,10,2024,Wild animal entering populated area,Deer,Medium,65
Maharashtra,9,2024,Wild animal entering populated area,Bear,Medium,90
Uttar Pradesh,12,2025,Conflict with humans,Tiger,Low,107
Odisha,12,2023,Trap/Accident,Monkey,Medium,229
Rajasthan,12,2019,Poaching,Leopard,Critical,691
Odisha,9,2023,Smuggling,Leopard,Low,73
Madhya Pradesh,1,2022,Wild animal entering populated area,Bear,Low,112
Maharashtra,9,2023,Wild animal entering populated area,Deer,Low,73
Assam,7,2022,Conflict with humans,Elephant,High,380
West Bengal,9,2018,Wild animal entering populated area,Elephant,Medium,246
Rajasthan,8,2025,Wild animal entering populated area,Bear,Medium,130
Karnataka,1,2023,Wild animal entering populated area,Monkey,Medium,51
West Bengal,12,2022,Poaching,Tiger,Medium,197
Maharashtra,8,2019,Poaching,Lion,Medium,114
Uttar Pradesh,8,2022,Wild animal entering populated area,Bear,Medium,229
Uttar Pradesh,11,2018,Conflict with humans,Snake,Medium,102
Odisha,3,2022,Wild animal entering populated area,Monkey,Medium,56
Madhya Pradesh,1,2023,Trap/Accident,Bear,Medium,60
Karnataka,8,2021,Wild animal entering populated area,Rhino,Low,39
Uttar Pradesh,3,2022,Poaching,Deer,High,76
Karnataka,3,2021,Wild animal entering populated area,Elephant,High,163
Madhya Pradesh,1,2024,Conflict with humans,Leopard,Low,123
Goa,11,2021,Wild animal entering populated area,Bear,High,333
Tamil Nadu,5,2020,Injury/Death,Snake,High,415
West Bengal,10,2020,Conflict with humans,Elephant,Medium,174
West Bengal,7,2021,Conflict with humans,Elephant,Low,27
Karnataka,10,2021,Wild animal entering populated area,Wild Boar,Low,118
Kerala,9,2019,Wild animal entering populated area,Deer,Medium,89
Rajasthan,12,2019,Conflict with humans,Bear,Low,113
Kerala,7,2020,Conflict with humans,Elephant,Low,136
Rajasthan,9,2018,Poaching,Leopard,High,443
Maharashtra,8,2022,Wild animal entering populated area,Elephant,High,448
Tamil Nadu,12,2022,Injury/Death,Wild Boar,Low,120
Maharashtra,2,2020,Conflict with humans,Monkey,Critical,391
Odisha,1,2021,Poaching,Leopard,High,177
Madhya Pradesh,7,2021,Wild animal entering populated area,Deer,Critical,131
Goa,7,2019,Wild animal entering populated area,Bear,Low,46
Tamil Nadu,8,2023,Wild animal entering populated area,Deer,Low,83
Maharashtra,5,2020,Conflict with humans,Elephant,High,373
Madhya Pradesh,3,2020,Injury/Death,Deer,Medium,60
Odisha,12,2018,Injury/Death,Wild Boar,High,375
Maharashtra,8,2022,Wild animal entering populated area,Bear,Low,43
Uttar Pradesh,6,2021,Wild animal entering populated area,Wild Boar,Low,147
Maharashtra,11,2021,Conflict with humans,Leopard,Medium,124
Kerala,3,2019,Injury/Death,Snake,Medium,172
Kerala,1,2022,Conflict with humans,Bear,Critical,105
Maharashtra,3,2023,Trap/Accident,Deer,Medium,132
Uttar Pradesh,5,2019,Trap/Accident,Wild Boar,Low,65
Rajasthan,3,2018,Wild animal entering populated area,Deer,Medium,108
Karnataka,1,2021,Poaching,Leopard,Low,102
Madhya Pradesh,5,2019,Conflict with humans,Deer,High,86
Uttar Pradesh,10,2022,Injury/Death,Snake,Medium,224
Karnataka,7,2022,Wild animal entering populated area,Monkey,Low,78
Rajasthan,7,2024,Conflict with humans,Leopard,Medium,162
Assam,11,2023,Injury/Death,Rhino,Critical,346
Karnataka,9,2022,Wild animal entering populated area,Bear,Low,100
Tamil Nadu,10,2021,Conflict with humans,Leopard,High,426
Odisha,10,2024,Poaching,Deer,Critical,227
West Bengal,12,2023,Smuggling,Tiger,Medium,44
Uttar Pradesh,3,2023,Trap/Accident,Wild Boar,Low,13
Uttar Pradesh,7,2022,Wild animal entering populated area,Rhino,High,424
Maharashtra,1,2025,Illegal trade,Deer,Critical,626
Karnataka,4,2023,Conflict with humans,Deer,Low,61
Tamil Nadu,4,2022,Wild animal entering populated area,Wild Boar,High,277
Rajasthan,5,2019,Wild animal entering populated area,Deer,Low,73
Karnataka,7,2024,Smuggling,Tiger,Low,33
Karnataka,7,2025,Wild animal entering populated area,Deer,Medium,55
Maharashtra,11,2022,Injury/Death,Snake,High,238
West Bengal,4,2022,Smuggling,Tiger,Medium,166
Karnataka,7,2023,Wild animal entering populated area,Rhino,Critical,353
Madhya Pradesh,11,2023,Conflict with humans,Bear,Medium,202
Madhya Pradesh,3,2022,Smuggling,Leopard,Low,124
Goa,6,2020,Conflict with humans,Tiger,Low,77
Karnataka,12,2020,Wild animal entering populated area,Monkey,High,407
West Bengal,2,2024,Wild animal entering populated area,Rhino,Critical,733
Karnataka,10,2022,Conflict with humans,Snake,Critical,951
Maharashtra,9,2025,Poaching,Leopard,High,242
Odisha,5,2021,Wild animal entering populated area,Elephant,Medium,230
Rajasthan,6,2023,Conflict with humans,Leopard,Medium,56
Uttar Pradesh,12,2023,Trap/Accident,Deer,High,108
Kerala,12,2024,Conflict with humans,Leopard,Medium,61
Kerala,12,2024,Conflict with humans,Elephant,High,229
Karnataka,12,2022,Illegal trade,Deer,High,433
Maharashtra,4,2018,Poaching,Monkey,Low,72
Uttar Pradesh,11,2022,Conflict with humans,Snake,Critical,250
Uttar Pradesh,10,2021,Wild animal entering populated area,Bear,High,331
Uttar Pradesh,7,2022,Wild animal entering populated area,Deer,Low,99
Assam,12,2019,Conflict with humans,Elephant,Critical,348
West Bengal,9,2023,Wild animal entering populated area,Rhino,Medium,150
Odisha,7,2022,Wild animal entering populated area,Monkey,Low,53
Maharashtra,1,2019,Injury/Death,Deer,Low,124
Uttar Pradesh,1,2019,Wild animal entering populated area,Deer,High,214
Tamil Nadu,9,2024,Injury/Death,Snake,Medium,110
Madhya Pradesh,11,2024,Smuggling,Deer,High,431
Karnataka,9,2021,Conflict with humans,Snake,High,180
Karnataka,4,2023,Smuggling,Monkey,High,287
Uttarakhand,9,2024,Conflict with humans,Snake,Low,106
Uttar Pradesh,3,2022,Injury/Death,Snake,Critical,382
Tamil Nadu,7,2021,Wild animal entering populated area,Monkey,Low,102
Karnataka,6,2021,Injury/Death,Snake,Medium,190
Odisha,8,2022,Conflict with humans,Elephant,High,336
Uttar Pradesh,11,2022,Smuggling,Tiger,Medium,54
Madhya Pradesh,9,2025,Wild animal entering populated area,Bear,Low,89
Rajasthan,5,2021,Poaching,Bear,Low,106
Maharashtra,1,2021,Poaching,Tiger,High,453
Uttarakhand,3,2024,Poaching,Deer,High,118
Madhya Pradesh,10,2022,Injury/Death,Bear,High,467
Odisha,12,2024,Wild animal entering populated area,Deer,Medium,108
Odisha,8,2021,Wild animal entering populated area,Monkey,Low,77
Madhya Pradesh,11,2024,Smuggling,Leopard,Medium,166
Karnataka,6,2022,Conflict with humans,Leopard,Low,63
Uttar Pradesh,8,2020,Wild animal entering populated area,Deer,High,148
Karnataka,9,2023,Injury/Death,Snake,Low,87
Uttar Pradesh,4,2018,Conflict with humans,Snake,High,378
Maharashtra,1,2025,Wild animal entering populated area,Deer,High,403
Tamil Nadu,1,2022,Injury/Death,Snake,Low,100
Odisha,10,2022,Conflict with humans,Snake,Medium,129
Karnataka,4,2022,Conflict with humans,Tiger,Low,43
Kerala,12,2022,Smuggling,Monkey,Low,31
Uttar Pradesh,7,2022,Wild animal entering populated area,Rhino,Critical,545
Uttar Pradesh,2,2024,Wild animal entering populated area,Elephant,Medium,209
Odisha,3,2019,Illegal trade,Leopard,Low,138
Odisha,1,2025,Wild animal entering populated area,Crocodile,High,160
Rajasthan,5,2018,Conflict with humans,Deer,Medium,57
Assam,1,2019,Poaching,Tiger,Medium,121
Karnataka,8,2024,Wild animal entering populated area,Crocodile,Low,47
Tamil Nadu,1,2023,Wild animal entering populated area,Monkey,Critical,751
Himachal Pradesh,11,2021,Injury/Death,Monkey,Critical,681
Rajasthan,1,2022,Wild animal entering populated area,Bear,Medium,141
Rajasthan,2,2023,Wild animal entering populated area,Deer,Low,59
Assam,2,2019,Wild animal entering populated area,Elephant,Low,94
Maharashtra,12,2024,Wild animal entering populated area,Deer,Medium,87
Rajasthan,6,2024,Wild animal entering populated area,Deer,High,121
Uttar Pradesh,7,2025,Wild animal entering populated area,Bear,Low,90
Madhya Pradesh,5,2023,Illegal trade,Leopard,Medium,44
Karnataka,1,2018,Poaching,Leopard,Low,63
Odisha,1,2019,Trap/Accident,Bear,Low,97
Maharashtra,3,2019,Trap/Accident,Crocodile,Medium,125
Karnataka,2,2022,Poaching,Tiger,Low,67
Rajasthan,5,2021,Poaching,Leopard,Medium,53
West Bengal,12,2022,Conflict with humans,Elephant,Low,79
Karnataka,10,2020,Conflict with humans,Elephant,Medium,110
Himachal Pradesh,6,2023,Wild animal entering populated area,Deer,Medium,50
Madhya Pradesh,7,2021,Wild animal entering populated area,Bear,High,325
Karnataka,4,2022,Injury/Death,Snake,Low,36
Rajasthan,7,2025,Wild animal entering populated area,Bear,High,158
Goa,11,2021,Illegal trade,Rhino,Low,78
Uttar Pradesh,8,2025,Wild animal entering populated area,Rhino,Low,67
Rajasthan,11,2021,Poaching,Deer,Low,108
Rajasthan,1,2025,Injury/Death,Deer,Critical,950
Odisha,6,2021,Wild animal entering populated area,Monkey,Low,112
Karnataka,8,2019,Wild animal entering populated area,Monkey,Low,70
Assam,5,2018,Wild animal entering populated area,Elephant,Medium,143
Karnataka,4,2025,Poaching,Rhino,Low,41
Uttar Pradesh,2,2021,Trap/Accident,Wild Boar,High,488
West Bengal,6,2019,Conflict with humans,Tiger,High,263
Tamil Nadu,6,2020,Wild animal entering populated area,Monkey,Low,72
Tamil Nadu,11,2021,Conflict with humans,Bear,High,484
Assam,1,2022,Wild animal entering populated area,Elephant,High,290
Maharashtra,9,2018,Conflict with humans,Elephant,High,402
Uttar Pradesh,12,2023,Injury/Death,Monkey,Low,26
Odisha,11,2024,Injury/Death,Wild Boar,High,439
Odisha,6,2021,Wild animal entering populated area,Elephant,Medium,153
Uttarakhand,3,2024,Poaching,Monkey,High,354
Karnataka,4,2024,Wild animal entering populated area,Rhino,Low,123
Karnataka,12,2020,Conflict with humans,Bear,Medium,43
Odisha,11,2023,Wild animal entering populated area,Deer,Low,99
Madhya Pradesh,4,2021,Wild animal entering populated area,Bear,Low,41
Madhya Pradesh,3,2021,Injury/Death,Bear,Low,127
Tamil Nadu,10,2021,Wild animal entering populated area,Monkey,Medium,96
Karnataka,3,2021,Illegal trade,Crocodile,Medium,222
Madhya Pradesh,3,2022,Smuggling,Leopard,Medium,118
Assam,4,2023,Wild animal entering populated area,Elephant,Critical,898
Himachal Pradesh,7,2022,Smuggling,Tiger,Medium,227
Odisha,4,2020,Poaching,Leopard,High,262
West Bengal,9,2021,Wild animal entering populated area,Elephant,Medium,49
Maharashtra,1,2025,Wild animal entering populated area,Elephant,Medium,118
Kerala,8,2024,Poaching,Tiger,High,147
Tamil Nadu,7,2019,Conflict with humans,Snake,Critical,581
West Bengal,2,2025,Trap/Accident,Rhino,High,216
Odisha,8,2023,Wild animal entering populated area,Rhino,Medium,160
Maharashtra,1,2019,Wild animal entering populated area,Elephant,Medium,124
Maharashtra,11,2018,Conflict with humans,Monkey,Medium,182
Maharashtra,12,2018,Trap/Accident,Monkey,Critical,206
Rajasthan,9,2023,Wild animal entering populated area,Bear,High,228
Tamil Nadu,9,2022,Wild animal entering populated area,Deer,High,129
West Bengal,2,2021,Wild animal entering populated area,Elephant,Low,105
Assam,7,2025,Wild animal entering populated area,Elephant,Low,62
Karnataka,10,2019,Conflict with humans,Monkey,Low,19
West Bengal,3,2023,Wild animal entering populated area,Elephant,High,209
Karnataka,7,2021,Poaching,Leopard,High,304
Uttar Pradesh,12,2022,Smuggling,Tiger,High,475
Madhya Pradesh,10,2024,Injury/Death,Bear,High,519
Madhya Pradesh,9,2022,Wild animal entering populated area,Bear,Critical,200
Maharashtra,4,2021,Conflict with humans,Monkey,High,421
Uttar Pradesh,12,2019,Smuggling,Deer,Medium,150
Tamil Nadu,1,2022,Wild animal entering populated area,Monkey,Medium,101
Maharashtra,2,2022,Wild animal entering populated area,Monkey,Medium,153
Kerala,1,2022,Conflict with humans,Leopard,Low,78
West Bengal,12,2021,Wild animal entering populated area,Elephant,Low,41
Karnataka,5,2020,Wild animal entering populated area,Deer,Low,94
Assam,5,2022,Trap/Accident,Rhino,Critical,300
Rajasthan,11,2022,Conflict with humans,Deer,Medium,161
Uttar Pradesh,7,2024,Injury/Death,Snake,Medium,187
Maharashtra,9,2020,Wild animal entering populated area,Monkey,Low,68
Maharashtra,9,2022,Wild animal entering populated area,Deer,Medium,96
Madhya Pradesh,3,2021,Trap/Accident,Deer,Low,34
Madhya Pradesh,3,2022,Poaching,Wolf,Low,45
Rajasthan,3,2021,Poaching,Leopard,Low,34
Madhya Pradesh,4,2025,Conflict with humans,Leopard,High,176
Rajasthan,8,2022,Poaching,Leopard,High,229
Maharashtra,6,2023,Illegal trade,Tiger,Medium,221
Maharashtra,8,2019,Wild animal entering populated area,Crocodile,Low,76
Tamil Nadu,1,2022,Smuggling,Monkey,Medium,179
Madhya Pradesh,8,2023,Wild animal entering populated area,Bear,Low,117
Kerala,4,2019,Wild animal entering populated area,Monkey,Low,80
Madhya Pradesh,11,2023,Poaching,Leopard,High,105
Madhya Pradesh,1,2025,Poaching,Leopard,Medium,149
Karnataka,8,2025,Wild animal entering populated area,Wild Boar,Low,67
Uttarakhand,4,2023,Wild animal entering populated area,Elephant,Low,40
Maharashtra,6,2022,Wild animal entering populated area,Monkey,Medium,169
Goa,8,2018,Wild animal entering populated area,Wild Boar,Low,80
Himachal Pradesh,4,2024,Wild animal entering populated area,Bear,High,356
Uttar Pradesh,3,2019,Wild animal entering populated area,Deer,Low,75
West Bengal,9,2022,Conflict with humans,Elephant,High,271
Karnataka,3,2023,Conflict with humans,Tiger,High,155
Odisha,9,2025,Wild animal entering populated area,Monkey,Low,64
Madhya Pradesh,2,2018,Trap/Accident,Bear,Medium,229
Odisha,2,2023,Trap/Accident,Deer,Critical,969
Kerala,2,2024,Conflict with humans,Monkey,Low,89
Madhya Pradesh,6,2021,Poaching,Leopard,Medium,92
Maharashtra,3,2018,Injury/Death,Snake,Low,98
Assam,9,2021,Poaching,Tiger,Low,95
Tamil Nadu,4,2023,Injury/Death,Monkey,Low,50
Odisha,1,2022,Wild animal entering populated area,Deer,Low,130
Kerala,4,2022,Wild animal entering populated area,Monkey,Medium,202
Madhya Pradesh,1,2022,Wild animal entering populated area,Bear,Critical,659
Kerala,5,2023,Wild animal entering populated area,Deer,Medium,42
Karnataka,4,2021,Injury/Death,Monkey,Low,129
Kerala,8,2025,Wild animal entering populated area,Elephant,Medium,235
Maharashtra,8,2024,Wild animal entering populated area,Monkey,Critical,990
Madhya Pradesh,7,2020,Illegal trade,Leopard,High,162
Uttarakhand,3,2018,Illegal trade,Bear,High,304
Karnataka,1,2025,Injury/Death,Bear,Low,35
Kerala,1,2023,Trap/Accident,Monkey,Medium,126
Uttar Pradesh,12,2023,Conflict with humans,Snake,High,122
Tamil Nadu,11,2022,Smuggling,Monkey,Medium,185
Kerala,3,2018,Injury/Death,Snake,Low,55
Karnataka,6,2022,Wild animal entering populated area,Crocodile,Low,131
Maharashtra,7,2019,Wild animal entering populated area,Bear,Low,58
Karnataka,6,2018,Wild animal entering populated area,Monkey,Low,52
Tamil Nadu,6,2025,Wild animal entering populated area,Rhino,Critical,158
Madhya Pradesh,6,2024,Wild animal entering populated area,Deer,Medium,153
Odisha,3,2022,Conflict with humans,Elephant,High,425
Tamil Nadu,6,2020,Wild animal entering populated area,Monkey,Low,92
West Bengal,8,2019,Wild animal entering populated area,Elephant,Medium,117
Uttar Pradesh,11,2022,Conflict with humans,Snake,High,123
Odisha,11,2024,Illegal trade,Tiger,Medium,113
Rajasthan,2,2020,Wild animal entering populated area,Bear,Medium,197
Odisha,5,2019,Injury/Death,Snake,Low,17
Maharashtra,1,2020,Poaching,Leopard,Low,61
Odisha,12,2024,Illegal trade,Tiger,Low,102
Karnataka,1,2018,Injury/Death,Deer,Medium,85
Odisha,5,2019,Wild animal entering populated area,Deer,Medium,214
Karnataka,12,2019,Wild animal entering populated area,Bear,Low,23
Maharashtra,3,2022,Conflict with humans,Tiger,Low,59
Uttar Pradesh,4,2019,Injury/Death,Snake,Critical,490
Assam,3,2021,Wild animal entering populated area,Elephant,High,428
Tamil Nadu,1,2024,Smuggling,Tiger,Low,49
West Bengal,1,2020,Conflict with humans,Elephant,Medium,148
Uttar Pradesh,12,2023,Trap/Accident,Wild Boar,Low,37
Uttar Pradesh,12,2022,Illegal trade,Monkey,Low,30
Rajasthan,5,2024,Poaching,Leopard,Medium,165
Karnataka,6,2024,Conflict with humans,Snake,Critical,144
Assam,3,2021,Wild animal entering populated area,Elephant,Medium,233
Maharashtra,12,2019,Injury/Death,Snake,High,500
Odisha,9,2019,Poaching,Leopard,Medium,126
Rajasthan,5,2025,Smuggling,Deer,Medium,153
Assam,8,2019,Conflict with humans,Lion,Low,35
Assam,1,2022,Wild animal entering populated area,Rhino,High,239
West Bengal,5,2025,Trap/Accident,Rhino,High,178
Tamil Nadu,3,2023,Wild animal entering populated area,Elephant,Medium,136
Maharashtra,12,2020,Trap/Accident,Bear,Medium,105
West Bengal,1,2021,Conflict with humans,Elephant,High,126
Tamil Nadu,4,2023,Injury/Death,Monkey,High,540
Himachal Pradesh,5,2020,Injury/Death,Snake,Medium,115
Madhya Pradesh,7,2023,Poaching,Leopard,Low,52
Assam,1,2021,Conflict with humans,Tiger,Medium,226
Tamil Nadu,3,2023,Smuggling,Monkey,High,52
Tamil Nadu,2,2023,Injury/Death,Wild Boar,High,519
Uttar Pradesh,9,2019,Poaching,Tiger,Low,87
Uttar Pradesh,10,2019,Poaching,Wild Boar,Low,69
Tamil Nadu,6,2021,Wild animal entering populated area,Bear,Medium,99
Maharashtra,10,2021,Trap/Accident,Wild Boar,Low,100
Uttar Pradesh,3,2023,Poaching,Wolf,Medium,209
Odisha,8,2023,Wild animal entering populated area,Wild Boar,Medium,64
West Bengal,8,2022,Wild animal entering populated area,Elephant,Low,40
Madhya Pradesh,2,2021,Injury/Death,Deer,Low,75
West Bengal,6,2023,Wild animal entering populated area,Rhino,Low,27
Tamil Nadu,7,2022,Wild animal entering populated area,Monkey,Low,126
Rajasthan,2,2019,Trap/Accident,Deer,High,270
Maharashtra,11,2024,Wild animal entering populated area,Elephant,Medium,231
Tamil Nadu,10,2018,Conflict with humans,Snake,Low,99
Uttar Pradesh,2,2025,Conflict with humans,Wild Boar,Medium,153
Rajasthan,10,2021,Injury/Death,Deer,Low,108
West Bengal,1,2023,Wild animal entering populated area,Elephant,Low,61
Uttar Pradesh,8,2025,Wild animal entering populated area,Bear,Low,45
Uttar Pradesh,1,2023,Wild animal entering populated area,Elephant,Medium,93
Karnataka,9,2018,Wild animal entering populated area,Monkey,Low,79
Uttar Pradesh,11,2025,Wild animal entering populated area,Deer,Medium,167
Madhya Pradesh,6,2023,Wild animal entering populated area,Bear,Low,93
Kerala,7,2025,Wild animal entering populated area,Wild Boar,Low,127
Karnataka,10,2021,Trap/Accident,Deer,Low,61
Maharashtra,7,2025,Conflict with humans,Elephant,Low,69
Uttar Pradesh,10,2024,Injury/Death,Rhino,Low,139
West Bengal,3,2021,Conflict with humans,Tiger,Low,108
Tamil Nadu,2,2020,Wild animal entering populated area,Monkey,Low,64
Kerala,9,2019,Injury/Death,Snake,Low,93
Assam,8,2023,Conflict with humans,Elephant,Medium,123
West Bengal,12,2021,Injury/Death,Rhino,Medium,166
Karnataka,10,2023,Wild animal entering populated area,Monkey,Low,23
Karnataka,7,2023,Wild animal entering populated area,Elephant,Medium,65
Maharashtra,9,2023,Wild animal entering populated area,Monkey,High,122
Karnataka,4,2022,Conflict with humans,Deer,Low,104
Uttar Pradesh,4,2020,Conflict with humans,Monkey,High,304
Uttarakhand,1,2021,Conflict with humans,Leopard,Medium,60
Maharashtra,8,2023,Conflict with humans,Elephant,Low,95
Uttar Pradesh,12,2019,Wild animal entering populated area,Deer,Medium,122
West Bengal,3,2022,Poaching,Tiger,High,106
Karnataka,7,2023,Wild animal entering populated area,Elephant,High,105
Assam,12,2024,Wild animal entering populated area,Elephant,Low,59
Uttar Pradesh,2,2018,Injury/Death,Monkey,Low,85
Karnataka,2,2019,Wild animal entering populated area,Monkey,Low,95
West Bengal,7,2019,Poaching,Tiger,Low,60
Maharashtra,6,2021,Conflict with humans,Elephant,Critical,189
Assam,3,2020,Trap/Accident,Rhino,High,471
Kerala,9,2020,Poaching,Leopard,Medium,85
Maharashtra,10,2020,Conflict with humans,Rhino,Critical,163
Uttar Pradesh,6,2018,Wild animal entering populated area,Rhino,Low,92
Karnataka,10,2019,Smuggling,Deer,Medium,78
Odisha,10,2025,Wild animal entering populated area,Rhino,Medium,227
Uttar Pradesh,6,2023,Wild animal entering populated area,Rhino,High,516
Maharashtra,1,2024,Wild animal entering populated area,Elephant,Critical,907
Karnataka,4,2025,Wild animal entering populated area,Monkey,Medium,201
Madhya Pradesh,10,2023,Smuggling,Deer,High,429
Goa,6,2023,Injury/Death,Lion,Medium,186
Kerala,6,2019,Injury/Death,Snake,High,392
West Bengal,11,2024,Poaching,Tiger,Medium,161
Odisha,12,2019,Conflict with humans,Snake,Critical,807
Rajasthan,5,2023,Trap/Accident,Bear,High,270
Odisha,1,2024,Conflict with humans,Leopard,Medium,86
Madhya Pradesh,8,2022,Wild animal entering populated area,Deer,Low,89
West Bengal,5,2025,Illegal trade,Tiger,Low,107
Assam,12,2024,Conflict with humans,Elephant,Low,96
Uttar Pradesh,12,2023,Poaching,Wild Boar,Low,68
Madhya Pradesh,12,2020,Conflict with humans,Bear,Medium,79
Rajasthan,5,2022,Poaching,Leopard,Low,36
Madhya Pradesh,7,2025,Wild animal entering populated area,Deer,Low,72
Assam,4,2023,Poaching,Tiger,Medium,136
Uttar Pradesh,6,2025,Conflict with humans,Elephant,Low,80
Karnataka,4,2020,Wild animal entering populated area,Wild Boar,Critical,659
